MovieID	original_language	original_title	popularity	title	vote_average	vote_count	 budget 	 revenue 	Profit
880	nl	Antonia	2	Antonia's Line	7.2	26	900000	0	-900000
2074	en	Flirting with Disaster	6	Flirting with Disaster	6.3	66	7000000	14702438	7702438
11863	en	Jade	11	Jade	5.1	45	50000000	9851610	-40148390
17414	en	Dunston Checks In	5	Dunston Checks In	5.1	59	16000000	0	-16000000
5757	en	Man of the Year	1	Man of the Year	3.8	2	0	209935	209935
11000	en	The Birdcage	6	The Birdcage	6.7	303	31000000	185260553	154260553
9737	en	Bad Boys	9	Bad Boys	6.5	1729	19000000	141407024	122407024
8391	en	When Night Is Falling	3	When Night Is Falling	5.9	10	0	0	0
22279	en	An Awfully Big Adventure	1	An Awfully Big Adventure	6	11	4000000	851545	-3148455
568	en	Apollo 13	19	Apollo 13	7.3	1637	52000000	355237933	303237933
11780	en	Rob Roy	10	Rob Roy	6.5	151	28000000	31596911	3596911
117164	en	Guardian Angel	1	Guardian Angel	6.3	3	0	0	0
414	en	Batman Forever	13	Batman Forever	5.2	1529	100000000	336529144	236529144
406	fr	La Haine	12	La Haine	7.9	695	3000000	0	-3000000
5894	en	Blue in the Face	12	Blue in the Face	6.8	28	2000000	1275000	-725000
1775	en	Canadian Bacon	5	Canadian Bacon	5.9	57	11000000	178104	-10821896
49133	it	Lamerica	1	Lamerica	7.7	11	0	0	0
8839	en	Casper	13	Casper	6	1045	50000000	287928194	237928194
2045	en	Unforgettable	2	Unforgettable	5.3	22	18000000	0	-18000000
20649	en	Clockers	5	Clockers	6.8	69	25000000	13071518	-11928482
26441	en	The Big Green	6	The Big Green	5.2	41	0	0	0
10329	en	Congo	7	Congo	5	214	50000000	152022101	102022101
8963	en	Crimson Tide	9	Crimson Tide	7	508	53000000	157387195	104387195
97406	en	Georgia	4	Georgia	6.1	15	0	0	0
26564	en	Crumb	4	Crumb	7.6	71	0	3174695	3174695
8068	en	Desperado	7	Desperado	6.8	898	7000000	25405445	18405445
124057	en	Kids of the Round Table	0	Kids of the Round Table	3	1	0	0	0
8512	en	Devil in a Blue Dress	5	Devil in a Blue Dress	6.3	88	27000000	16140822	-10859178
1572	en	Die Hard: With a Vengeance	15	Die Hard: With a Vengeance	6.9	2094	90000000	366101666	276101666
6520	en	First Knight	15	First Knight	5.9	319	55000000	127600435	72600435
10428	en	Hackers	15	Hackers	6.2	406	20000000	7563728	-12436272
11010	it	Il postino	10	The Postman	7.6	181	0	0	0
9886	en	Johnny Mnemonic	12	Johnny Mnemonic	5.5	380	25000000	19075720	-5924280
9482	en	Judge Dredd	8	Judge Dredd	5.4	643	90000000	113493481	23493481
99040	fr	Le confessionnal	0	The Confessional	6.5	2	0	0	0
19326	en	Jury Duty	4	Jury Duty	4	34	0	17014653	17014653
43566	en	Before and After	3	Before and After	5.8	37	35000000	0	-35000000
9344	en	Kids	5	Kids	6.8	280	1500000	7412216	5912216
43612	en	Le Bonheur est dans le pr 	1	Happiness Is in the Field	7	23	13365000	0	-13365000
9071	en	Living in Oblivion	10	Living in Oblivion	7.2	64	500000	1148752	648752
47608	en	Mad Love	3	Mad Love	5.5	27	0	15453274	15453274
2293	en	Mallrats	8	Mallrats	6.8	400	6000000	2122561	-3877439
9070	en	Mighty Morphin Power Rangers: The Movie	7	Mighty Morphin Power Rangers: The Movie	5.2	153	15000000	66000000	51000000
10607	en	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	12	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	6.2	192	0	0	0
48787	en	Mute Witness	2	Mute Witness	6.4	36	2	1	-1
1642	en	The Net	13	The Net	5.6	359	22000000	110627965	88627965
19760	en	Two If by Sea	2	Two If by Sea	4.5	14	0	0	0
11472	en	Nine Months	8	Nine Months	5.5	171	0	69660733	69660733
27793	en	The NeverEnding Story III	6	The Neverending Story III: Escape from Fantasia	4.4	105	17000000	0	-17000000
36196	en	Party Girl	1	Party Girl	5.8	14	150000	472370	322370
11980	en	The Prophecy	10	The Prophecy	6.4	139	8	16	8
10533	en	The Scarlet Letter	7	The Scarlet Letter	5.5	111	50000000	10382407	-39617593
9302	en	Up Close & Personal	3	Up Close & Personal	5.9	51	60000000	0	-60000000
10802	en	Showgirls	18	Showgirls	4.9	261	45000000	20350754	-24649246
40628	en	Two Bits	4	Two Bits	5.4	11	0	0	0
10149	en	Smoke	6	Smoke	7.2	115	7000000	8349430	1349430
18402	en	Something to Talk About	4	Something to Talk About	5.7	60	0	50892160	50892160
4482	fr	Gazon maudit	3	French Twist	6	43	0	0	0
9348	en	Species	13	Species	5.5	457	35000000	113374103	78374103
281	en	Strange Days	11	Strange Days	6.8	334	42000000	7959291	-34040709
79593	en	The Tie That Binds	2	The Tie That Binds	4.6	9	14000000	5780000	-8220000
47939	en	Three Wishes	11	Three Wishes	6.1	18	0	7025496	7025496
36834	en	Total Eclipse	5	Total Eclipse	6.5	112	0	339889	339889
9090	en	"To Wong Foo, Thanks for Everything! Julie Newmar"	8	"To Wong Foo, Thanks for Everything! Julie Newmar"	6.3	117	0	47774193	47774193
3512	en	Under Siege 2: Dark Territory	7	Under Siege 2: Dark Territory	5.6	217	60000000	104324083	44324083
48750	fr	Les mis rables	1	Les Miserables	6.6	8	0	0	0
9560	en	A Walk in the Clouds	10	A Walk in the Clouds	6.5	168	20000000	50012507	30012507
9804	en	Waterworld	17	Waterworld	5.9	1017	175000000	264218220	89218220
50797	ru	?????????? ???????	2	Burnt by the Sun	6.7	35	2800000	2616503	-183497
19155	en	Before the Rain	4	Before the Rain	7.7	45	0	763847	763847
76	en	Before Sunrise	11	Before Sunrise	7.7	984	2500000	5535405	3035405
11017	en	Billy Madison	7	Billy Madison	6.2	464	10000000	26488734	16488734
124626	en	Nico Icon	0	Nico Icon	7.3	3	0	0	0
9382	en	Boys on the Side	3	Boys on the Side	6.3	48	21000000	23450000	2450000
2292	en	Clerks	11	Clerks	7.4	769	27000	3151130	3124130
27526	en	The Crossing Guard	6	The Crossing Guard	6.1	74	0	0	0
1909	en	Don Juan DeMarco	7	Don Juan DeMarco	6.3	184	25000000	22200000	-2800000
8984	en	Disclosure	12	Disclosure	5.9	217	55000000	214015089	159015089
8467	en	Dumb and Dumber	10	Dumb and Dumber	6.5	1894	16000000	247275374	231275374
46785	fa	?????? ????	1	The White Balloon	7.5	20	0	0	0
10451	zh	????	5	Eat Drink Man Woman	7.5	76	0	7294403	7294403
18395	en	Exit to Eden	4	Exit to Eden	4.3	28	0	6841570	6841570
522	en	Ed Wood	12	Ed Wood	7.3	639	18000000	5887457	-12112543
15789	en	A Goofy Movie	10	A Goofy Movie	6.7	404	0	35348597	35348597
146599	en	Once Upon a Time... When We Were Colored	0	Once Upon a Time... When We Were Colored	4.5	2	0	0	0
27303	en	Hideaway	8	Hideaway	5	24	15000000	12201255	-2798745
47867	en	Gordy	0	Gordy	3	4	0	3992809	3992809
188588	en	Last Summer in the Hamptons	1	Last Summer in the Hamptons	0	0	0	0	0
14275	en	Hoop Dreams	9	Hoop Dreams	7.7	91	700000	7830611	7130611
1024	en	Heavenly Creatures	9	Heavenly Creatures	6.9	299	5000000	3049135	-1950865
8447	en	Angels and Insects	2	Angels and Insects	6.3	17	0	0	0
17207	en	Houseguest	3	Houseguest	6	17	10500000	26325256	15825256
14819	en	Heavyweights	10	Heavyweights	6	97	0	17689177	17689177
628	en	Interview with the Vampire	12	Interview with the Vampire	7.2	1558	60000000	223664608	163664608
87729	en	Jefferson in Paris	2	Jefferson in Paris	5.2	10	14000000	2474000	-11526000
6280	en	Junior	7	Junior	4.7	381	60000000	37000000	-23000000
11	en	Star Wars	42	Star Wars	8.1	6778	11000000	775398007	764398007
18183	es	Como agua para chocolate	4	Like Water for Chocolate	6.6	70	2000000	21665468	19665468
61548	en	The Journey of August King	0	The Journey of August King	6.7	3	0	0	0
4476	en	Legends of the Fall	12	Legends of the Fall	7.2	636	30000000	160638883	130638883
28313	en	Losing Isaiah	8	Losing Isaiah	6.4	28	17000000	7603766	-9396234
3036	en	Frankenstein	14	Mary Shelley's Frankenstein	6.1	272	45000000	112006296	67006296
8986	en	Milk Money	4	Milk Money	5.6	49	0	18137661	18137661
9283	en	Beautiful Girls	5	Beautiful Girls	6.6	103	0	0	0
10510	en	Miracle on 34th Street	6	Miracle on 34th Street	6.4	199	0	46264384	46264384
17402	en	Miami Rhapsody	1	Miami Rhapsody	5.6	7	6	5	-1
8438	en	Murder in the First	10	Murder in the First	6.9	140	0	17381942	17381942
40154	en	A Midwinter's Tale	1	A Midwinter's Tale	7.5	6	0	0	0
1945	en	Nell	6	Nell	6.1	128	31000000	106683817	75683817
45549	en	Shopping	3	Shopping	5.6	13	0	0	0
63076	en	Heidi Fleiss: Hollywood Madam	1	Heidi Fleiss: Hollywood Madam	6.8	4	0	0	0
11062	en	City Hall	5	City Hall	6	67	0	0	0
47475	en	Mr. Wrong	3	Mr. Wrong	3.3	16	0	0	0
31611	en	White Man's Burden	2	White Man's Burden	5.1	25	8000000	0	-8000000
65796	en	Wild Bill	9	Wild Bill	5.9	27	30000000	0	-30000000
11907	de	Keiner liebt mich	1	Nobody Loves Me	5.1	5	0	0	0
89333	en	Catwalk	1	Catwalk	7	2	0	0	0
96357	en	Headless Body in Topless Bar	0	Headless Body in Topless Bar	0	0	0	0	0
4954	en	Drop Zone	10	Drop Zone	5.1	91	45000000	0	-45000000
71754	en	Margaret's Museum	0	Margaret's Museum	7.5	2	0	0	0
16934	en	The Young Poisoner's Handbook	6	The Young Poisoner's Handbook	6.9	19	0	0	0
10324	en	If Lucy Fell	3	If Lucy Fell	5.4	11	0	0	0
55731	en	Race the Sun	1	Race the Sun	5.2	21	0	0	0
13701	en	Immortal Beloved	8	Immortal Beloved	6.9	90	120	0	-120
32119	en	The Boys of St. Vincent	1	The Boys of St. Vincent	7	7	0	0	0
11777	en	I.Q.	5	I.Q.	5.9	112	25000000	0	-25000000
11104	cn	????	7	Chungking Express	7.9	249	0	0	0
37975	it	L'uomo delle stelle	2	The Star Maker	6.8	29	0	0	0
6071	en	Kiss of Death	8	Kiss of Death	5.7	83	40000000	0	-40000000
44284	ar	??? ??????	0	The Silences of the Palace	4.3	3	0	0	0
9587	en	Little Women	10	Little Women	7	222	18000000	0	-18000000
290157	en	Jupiter's Wife	0	Jupiter's Wife	0	0	0	0	0
19101	en	A Little Princess	8	A Little Princess	7.4	207	17000000	0	-17000000
110972	en	Pie in the Sky	1	Pie in the Sky	7	2	0	0	0
17961	fr	L'Enfer	2	L'Enfer	6.6	22	10000000	0	-10000000
32622	en	Angela	2	Angela	5.6	9	0	0	0
73067	it	Frankie Starlight	1	Frankie Starlight	5.4	4	0	0	0
43742	en	Love Affair	3	Love Affair	4.3	11	60000000	0	-60000000
55475	es	Nueba Yol	0	Nueba Yol	5.5	1	0	0	0
124636	en	Sonic Outlaws	0	Sonic Outlaws	0	0	0	0	0
9101	en	Down Periscope	5	Down Periscope	5.6	110	0	0	0
24070	en	Mixed Nuts	3	Mixed Nuts	5.2	37	15000000	0	-15000000
123360	en	From the Journals of Jean Seberg	0	From the Journals of Jean Seberg	6.5	2	0	0	0
39428	en	The Neon Bible	0	The Neon Bible	7.2	5	0	0	0
124639	en	Target	0	Target	0	0	0	0	0
249882	en	Gospa	1	Virgin Mary	7	2	0	0	0
16388	en	The Brothers McMullen	2	The Brothers McMullen	6.3	23	0	0	0
30765	en	The Amazing Panda Adventure	2	The Amazing Panda Adventure	5	31	0	0	0
10474	en	The Basketball Diaries	7	The Basketball Diaries	7.2	472	0	0	0
30157	en	Amateur	2	Amateur	6.5	21	0	0	0
34996	en	The Addiction	3	The Addiction	6.4	46	0	0	0
649	fr	Belle de jour	10	Belle de Jour	7.3	163	0	0	0
1873	en	Beyond Rangoon	2	Beyond Rangoon	6.4	21	0	0	0
13552	en	The Doom Generation	7	The Doom Generation	5.6	57	0	0	0
259209	en	Feast of July	1	Feast of July	0	0	0	0	0
9073	en	Free Willy 2 - The Adventure Home	8	Free Willy 2 - The Adventure Home	5.5	130	0	0	0
17447	en	Jeffrey	3	Jeffrey	6.5	19	0	0	0
8973	en	Lord of Illusions	4	Lord of Illusions	5.9	87	0	0	0
15730	en	Love & Human Remains	0	Love & Human Remains	7	7	0	0	0
68274	en	Moonlight and Valentino	1	Moonlight and Valentino	5.6	10	0	0	0
34574	en	Nadja	8	Nadja	5.9	12	0	0	0
58372	en	Reckless	0	Reckless	10	1	0	0	0
32646	en	Safe	8	Safe	7.2	62	0	0	0
56088	en	The Show	0	The Show	5.3	2	0	0	0
139408	en	The Stars Fell on Henrietta	1	The Stars Fell on Henrietta	6.6	6	0	0	0
5967	fr	Les parapluies de Cherbourg	8	The Umbrellas of Cherbourg	7.6	119	0	0	0
52856	en	Unstrung Heroes	3	Unstrung Heroes	6.4	9	0	0	0
77350	en	Unzipped	1	Unzipped	6	6	0	0	0
49805	en	The Browning Version	4	The Browning Version	6	11	0	0	0
26258	en	Bushwhacked	3	Bushwhacked	4.9	29	0	0	0
37141	en	The Babysitter	3	The Babysitter	4.7	27	0	0	0
6715	en	The Cure	3	The Cure	7.2	58	0	0	0
18256	en	Castle Freak	2	Castle Freak	5.8	40	0	0	0
22625	en	Circle of Friends	3	Circle of Friends	6.5	30	0	0	0
61813	en	Dream Man	0	Dream Man	2.5	1	0	0	0
62488	it	Destiny Turns on the Radio	1	Destiny Turns on the Radio	5.3	9	0	0	0
10531	en	Death and the Maiden	5	Death and the Maiden	7.1	92	0	0	0
11929	en	Dolores Claiborne	6	Dolores Claiborne	7.1	183	0	0	0
20156	en	Exotica	5	Exotica	6.5	64	0	0	0
397	en	French Kiss	9	French Kiss	6.2	179	0	0	0
10525	en	Forget Paris	16	Forget Paris	6.1	38	0	0	0
27985	en	Far from Home: The Adventures of Yellow Dog	3	Far from Home: The Adventures of Yellow Dog	5.6	27	0	0	0
21183	en	Fluke	5	Fluke	6.6	48	0	0	0
10954	fr	Farinelli	9	Farinelli	5.9	20	0	0	0
43475	en	Gumby: The Movie	0	Gumby: The Movie	5	2	0	0	0
72031	en	The Glass Shield	1	The Glass Shield	5.4	9	0	0	0
32631	en	The Hunted	3	The Hunted	6	25	0	0	0
18713	en	The Jerky Boys	1	The Jerky Boys	4.8	10	0	0	0
9061	en	Just Cause	9	Just Cause	6	124	0	0	0
37108	en	A Kid in King Arthur's Court	6	A Kid in King Arthur's Court	4.3	40	0	0	0
49980	en	Ladybird Ladybird	1	Ladybird Ladybird	7.4	14	0	0	0
11008	en	Major Payne	9	Major Payne	6.1	164	0	0	0
47504	en	Little Odessa	2	Little Odessa	6.4	31	0	0	0
32325	en	Mi Vida Loca	2	Mi Vida Loca	5.7	9	0	0	0
11318	en	The Madness of King George	5	The Madness of King George	6.7	67	0	0	0
40490	en	Man of the House	3	Man of the House	5.1	40	0	0	0
38722	en	My Family	3	My Family	7	11	5500000	0	-5500000
11593	en	Nobody's Fool	3	Nobody's Fool	7	56	0	0	0
39310	en	New Jersey Drive	1	New Jersey Drive	6.9	7	0	0	0
109560	en	New York Cop	0	New York Cop	0	0	0	0	0
56428	en	Beyond Bedlam	0	Beyond Bedlam	4	4	4800000	0	-4800000
63105	en	Nemesis 2 - Nebula	1	Nemesis 2 - Nebula	4.6	10	0	0	0
131957	en	Nina Takes a Lover	1	Nina Takes a Lover	7.4	4	0	0	0
241	en	Natural Born Killers	11	Natural Born Killers	6.9	927	34000000	50282766	16282766
9058	en	Only You	5	Only You	6.4	92	0	0	0
527	en	Once Were Warriors	4	Once Were Warriors	7.6	106	0	2201126	2201126
18220	en	Poison Ivy II: Lily	6	Poison Ivy II: Lily	4.6	32	0	0	0
6950	en	Outbreak	14	Outbreak	6.4	522	50000000	189859560	139859560
101	fr	L on	20	Leon: The Professional	8.2	4293	16000000	45284974	29284974
63020	en	The Perez Family	1	The Perez Family	6.6	9	11000000	2832826	-8167174
2307	en	A Pyromaniac's Love Story	0	A Pyromaniac's Love Story	7	2	0	0	0
680	en	Pulp Fiction	141	Pulp Fiction	8.3	8670	8000000	213928762	205928762
41478	en	Panther	7	Panther	6.4	6	0	6834525	6834525
25296	zh	Pushing Hands	2	Pushing Hands	6.1	9	400000	152322	-247678
40156	en	Priest	2	Priest	6.4	32	0	4176932	4176932
11450	en	Quiz Show	8	Quiz Show	7.1	262	0	0	0
30304	en	Picture Bride	1	Picture Bride	7.4	5	0	0	0
10452	fr	La Reine Margot	4	Queen Margot	7	67	0	0	0
12106	en	The Quick and the Dead	8	The Quick and the Dead	6.2	431	32000000	18552460	-13447540
161495	sv	Roommates	3	Roommates	6.4	7	22000000	12400000	-9600000
3586	en	Pr t- -Porter	6	Pr t- -Porter	5.3	33	15000000	11300653	-3699347
110	fr	Trois couleurs : Rouge	8	Three Colors: Red	7.8	246	0	0	0
108	fr	Trois couleurs : Bleu	9	Three Colors: Blue	7.7	311	0	0	0
109	fr	Trois couleurs : Blanc	7	Three Colors: White	7.3	218	0	0	0
159185	zh	Pao Da Shuang Deng	0	"Red Firecracker, Green Firecracker"	7	2	0	0	0
36357	en	Rent-a-Kid	1	Rent-a-Kid	5.1	15	0	0	0
92769	en	Relative Fear	0	Relative Fear	4.7	3	0	0	0
28033	en	Stuart Saves His Family	1	Stuart Saves His Family	5	6	0	0	0
22586	en	The Swan Princess	9	The Swan Princess	6.5	251	35000000	9771658	-25228342
14334	en	The Secret of Roan Inish	2	The Secret of Roan Inish	6.1	15	0	0	0
2636	en	The Specialist	10	The Specialist	5.5	317	45000000	170362582	125362582
2164	en	Stargate	13	Stargate	6.8	942	55000000	196567262	141567262
11395	en	The Santa Clause	10	The Santa Clause	6.3	501	22000000	189833357	167833357
278	en	The Shawshank Redemption	52	The Shawshank Redemption	8.5	8358	25000000	28341469	3341469
9905	en	Shallow Grave	8	Shallow Grave	7	247	0	0	0
87078	en	Suture	1	Suture	6	7	0	102780	102780
12527	es	Fresa y chocolate	2	Strawberry and Chocolate	7.1	16	0	0	0
20306	en	Swimming with Sharks	6	Swimming with Sharks	6.7	104	0	0	0
36614	en	The Sum of Us	1	The Sum of Us	6	21	32	0	-32
27993	en	Senior Trip	5	Senior Trip	5.7	23	0	0	0
31439	zh	??	5	To Live	7.7	62	0	0	0
9067	en	Tank Girl	8	Tank Girl	5.5	140	25000000	4064495	-20935505
9059	en	Tales from the Crypt: Demon Knight	9	Tales from the Crypt: Demon Knight	6.7	96	0	0	0
193	en	Star Trek: Generations	8	Star Trek: Generations	6.4	461	38000000	120000000	82000000
25066	en	Tales from the Hood	3	Tales from the Hood	5.4	33	6000000	12000000	6000000
46797	en	Tom & Viv	1	Tom & Viv	5.8	8	0	0	0
12122	en	Village of the Damned	7	Village of the Damned	5.6	165	0	0	0
11381	en	Tommy Boy	12	Tommy Boy	6.8	321	0	32648673	32648673
32636	en	Vanya on 42nd Street	7	Vanya on 42nd Street	6.1	15	0	0	0
36141	en	The Underneath	2	The Underneath	5.6	15	6500000	0	-6500000
95963	en	The Walking Dead	1	The Walking Dead	6.6	4	0	0	0
1587	en	What's Eating Gilbert Grape	10	What's Eating Gilbert Grape	7.5	943	11000000	10032765	-967235
9271	en	Virtuosity	5	Virtuosity	5.4	163	30000000	24048000	-5952000
2064	en	While You Were Sleeping	16	While You Were Sleeping	6.5	340	17000000	182057016	165057016
19855	en	The War	4	The War	6.3	39	0	0	0
60855	en	Double Happiness	0	Double Happiness	5.5	2	0	759393	759393
236	en	Muriel's Wedding	5	Muriel's Wedding	6.9	104	3000000	15119639	12119639
48287	en	The Baby-Sitters Club	2	The Baby-Sitters Club	5.3	23	0	0	0
3049	en	Ace Ventura: Pet Detective	11	Ace Ventura: Pet Detective	6.4	1684	15000000	107217396	92217396
2759	en	"The Adventures of Priscilla, Queen of the Desert"	8	"The Adventures of Priscilla, Queen of the Desert"	7.2	174	0	11220670	11220670
12635	en	Backbeat	2	Backbeat	6.2	37	0	0	0
10497	en	Bitter Moon	11	Bitter Moon	7	115	5000000	1862805	-3137195
11382	en	Bullets Over Broadway	6	Bullets Over Broadway	7	130	0	0	0
9331	en	Clear and Present Danger	8	Clear and Present Danger	6.4	390	62000000	215887717	153887717
10731	en	The Client	15	The Client	6.4	287	45000000	117615211	72615211
10464	en	"Corrina, Corrina"	7	"Corrina, Corrina"	6.4	83	0	0	0
34152	en	Crooklyn	3	Crooklyn	6.7	31	0	0	0
9495	en	The Crow	16	The Crow	7.3	980	15000000	94000000	79000000
29973	en	Cobb	3	Cobb	6.1	29	0	1007583	1007583
888	en	The Flintstones	15	The Flintstones	5	559	46000000	341631208	295631208
13	en	Forrest Gump	48	Forrest Gump	8.2	8147	55000000	677945399	622945399
712	en	Four Weddings and a Funeral	9	Four Weddings and a Funeral	6.6	654	6000000	254700832	248700832
16295	en	Higher Learning	8	Higher Learning	6.4	49	0	38290723	38290723
48992	en	I Like It Like That	0	I Like It Like That	6.3	4	0	1777020	1777020
10879	en	I Love Trouble	4	I Love Trouble	5.3	41	45000000	61947267	16947267
10660	en	It Could Happen to You	11	It Could Happen to You	6.1	154	0	0	0
10714	en	The Jungle Book	11	The Jungle Book	5.9	107	0	0	0
41647	en	Die Macht der Bilder: Leni Riefenstahl	1	"The Wonderful, Horrible Life of Leni Riefenstahl"	7.3	5	0	449707	449707
