genres	MovieID
Comedy	2758
Comedy	38129
Drama	10436
Comedy	13595
Comedy	46094
Action	9409
Action	11853
Comedy	16771
Drama	46924
Comedy	11041
Action	306
Action	14522
Mystery	26203
Drama	178
Drama	19819
Drama	57834
Horror	4722
Drama	18215
Drama	1607
Comedy	26391
Drama	117553
Action	6075
Action	11310
Comedy	18658
Action	9350
Comedy	9612
Drama	2124
Action	26261
Western	19176
Drama	49299
Comedy	11566
Comedy	9571
Crime	9739
Documentary	24257
Western	34444
Comedy	26141
Drama	10997
Drama	50463
Drama	10443
Comedy	20239
Comedy	16297
Drama	18551
Comedy	25440
Comedy	9024
Drama	37233
Family	1634
Crime	13815
Adventure	5503
History	35588
Drama	2087
Family	41579
Drama	18620
Comedy	41006
Drama	4916
Action	2019
History	31642
Action	9255
Comedy	26271
Drama	10612
Romance	2259
Comedy	16097
Comedy	11934
Comedy	106143
Comedy	12475
Action	9386
Drama	7984
Comedy	59930
Drama	15765
Comedy	31643
Action	6
Adventure	329
Thriller	10909
Action	507
Drama	34024
Action	29918
Adventure	9593
Comedy	42580
Action	22317
Drama	1413
Comedy	12121
Drama	2246
Drama	10502
Comedy	10440
Drama	9516
Action	2320
Drama	5879
Thriller	83718
Drama	11971
Drama	2625
Comedy	31911
Comedy	788
Comedy	21450
Adventure	11231
Comedy	41588
Action	10447
Comedy	31586
Romance	9300
Crime	9559
Drama	9800
Drama	713
Drama	8291
Drama	18133
Horror	25557
Comedy	22588
Comedy	10872
Drama	1245
Comedy	11858
Action	7007
Comedy	10467
Action	5550
Comedy	8005
Action	2088
Action	10412
Drama	47889
Drama	14534
Drama	56583
Drama	41878
Drama	424
Comedy	35233
Drama	14291
Drama	103413
Drama	11236
Comedy	11592
Adventure	8850
Drama	10445
Comedy	695
Drama	43535
Comedy	12519
Mystery	23210
Comedy	858
Drama	867
Science Fiction	78
Comedy	13203
Drama	346225
Documentary	333097
Horror	415633
Action	429524
Family	421126
Drama	104810
Drama	383743
Romance	365451
Comedy	17229
Documentary	75760
Action	412669
Comedy	279687
Horror	464111
Documentary	385305
Fantasy	440597
Mystery	433711
Comedy	417870
Comedy	419459
Thriller	407448
Drama	414453
Documentary	329005
Comedy	213204
Drama	117800
Thriller	384594
Comedy	412103
Documentary	438665
Thriller	437830
Comedy	7014
Documentary	411516
Action	101190
Drama	85709
Documentary	60378
Comedy	403667
Comedy	74464
Drama	459950
Documentary	332543
Documentary	128571
Comedy	82029
Comedy	33704
Comedy	103344
Comedy	275272
Comedy	68637
Drama	454774
Comedy	433410
Documentary	429039
Drama	45592
Comedy	69483
Adventure	423453
Thriller	451955
Drama	70609
Comedy	36886
Drama	36887
Comedy	36885
Adventure	12097
Drama	280640
Comedy	231216
Comedy	66247
Action	49074
Drama	47940
Action	24049
Comedy	28469
Action	410554
Drama	96823
Animation	54559
Documentary	390343
Documentary	450875
Drama	56841
TV Movie	417320
Fantasy	104700
Comedy	70573
Documentary	407803
Fantasy	104702
Comedy	49295
Drama	51507
Comedy	265189
Comedy	373247
Documentary	458618
Comedy	277839
Comedy	454787
Animation	433471
Action	69727
Animation	89606
Drama	467731
Documentary	383216
Horror	104308
Drama	206277
Comedy	92108
Drama	36415
Comedy	60153
Drama	245073
Drama	280477
Drama	154575
Drama	88844
Romance	182981
Drama	59958
Drama	432025
Science Fiction	36391
Drama	87229
Adventure	383618
Comedy	10819
Crime	31856
Comedy	358511
Drama	79343
Drama	155939
Documentary	56350
Drama	25667
Comedy	24768
Drama	190496
Science Fiction	58133
Drama	139159
Comedy	30019
Fantasy	78359
Music	101801
Drama	36416
Comedy	317736
Mystery	168819
Drama	108331
Animation	291224
Comedy	38876
Drama	369444
Comedy	81318
Fantasy	152912
Adventure	68802
Drama	80831
Music	180244
Romance	157320
Drama	167267
Drama	112531
Drama	81313
Documentary	245394
Comedy	190817
Drama	120831
Drama	65507
Comedy	43656
Documentary	401408
Comedy	366505
Comedy	434166
Horror	104704
Crime	435473
Drama	269981
Thriller	183088
Comedy	430365
Comedy	50977
Thriller	395767
Drama	199887
Comedy	248705
Fantasy	90063
Western	36139
Horror	43585
Action	44918
Drama	63990
Drama	28669
Documentary	188421
Horror	39164
Horror	3104
Comedy	20776
Comedy	24568
Horror	43085
Horror	100671
Comedy	19307
Comedy	48959
Fantasy	71016
Romance	151506
Comedy	43995
Horror	40467
Science Fiction	449696
Comedy	79927
Comedy	21251
Drama	374764
Animation	460135
Adventure	42247
Comedy	426272
Fantasy	413421
Comedy	261871
Adventure	317389
Documentary	91563
Romance	432789
Horror	264269
Action	182030
Action	32388
Comedy	434873
Animation	175457
Animation	184402
Documentary	370213
Horror	99104
Romance	445126
TV Movie	401687
Drama	200066
Drama	273279
Drama	97797
Romance	468707
Crime	280422
Mystery	38326
Drama	240789
Comedy	293654
Romance	64197
Drama	102363
Drama	92771
Comedy	98604
Comedy	97672
Comedy	100152
Comedy	62757
Drama	449131
Romance	61966
Romance	63281
Romance	70965
Documentary	75608
Documentary	275331
Comedy	282308
Crime	461297
Drama	258907
Documentary	127762
Drama	18098
Drama	52103
Action	63898
Comedy	174271
Adventure	42652
Fantasy	143117
Comedy	65416
Mystery	365432
Action	45029
Documentary	36680
Thriller	222872
Documentary	257472
Documentary	323132
Music	5589
Thriller	63266
Action	45527
Family	455661
Drama	327237
Drama	84710
Drama	39562
Comedy	14008
Comedy	49279
Fantasy	44333
Fantasy	49277
Fantasy	49271
Animation	14885
Fantasy	49280
Comedy	106807
Documentary	276895
Crime	404604
Comedy	420346
Hoirror	84419
Mystery	390959
Horror	289923
Science Fiction	222848
Drama	30840
Drama	439050
Drama	111109
Action	67758
[]	227506
[]	461257
