MovieID	original_language	original_title	popularity	title	vote_average	vote_count
78406	en	Steal Big Steal Little	2	Steal Big Steal Little	5.1	7
55731	en	Race the Sun	1	Race the Sun	5.2	21
32119	en	The Boys of St. Vincent	1	The Boys of St. Vincent	7	7
11066	en	Boomerang	7	Boomerang	5.4	139
11104	cn	重慶森林	7	Chungking Express	7.9	249
37975	it	L'uomo delle stelle	2	The Star Maker	6.8	29
2074	en	Flirting with Disaster	6	Flirting with Disaster	6.3	66
27793	en	The NeverEnding Story III	6	The Neverending Story III: Escape from Fantasia	4.4	105
44284	ar	صمت القصور	0	The Silences of the Palace	4.3	3
290157	en	Jupiter's Wife	0	Jupiter's Wife	0	0
110972	en	Pie in the Sky	1	Pie in the Sky	7	2
32622	en	Angela	2	Angela	5.6	9
73067	it	Frankie Starlight	1	Frankie Starlight	5.4	4
11863	en	Jade	11	Jade	5.1	45
55475	es	Nueba Yol	0	Nueba Yol	5.5	1
124636	en	Sonic Outlaws	0	Sonic Outlaws	0	0
9101	en	Down Periscope	5	Down Periscope	5.6	110
123360	en	From the Journals of Jean Seberg	0	From the Journals of Jean Seberg	6.5	2
5757	en	Man of the Year	1	Man of the Year	3.8	2
39428	en	The Neon Bible	0	The Neon Bible	7.2	5
124639	en	Target	0	Target	0	0
9302	en	Up Close & Personal	3	Up Close & Personal	5.9	51
11000	en	The Birdcage	6	The Birdcage	6.7	303
249882	en	Gospa	1	Virgin Mary	7	2
16388	en	The Brothers McMullen	2	The Brothers McMullen	6.3	23
9737	en	Bad Boys	9	Bad Boys	6.5	1729
30765	en	The Amazing Panda Adventure	2	The Amazing Panda Adventure	5	31
10474	en	The Basketball Diaries	7	The Basketball Diaries	7.2	472
22279	en	An Awfully Big Adventure	1	An Awfully Big Adventure	6	11
30157	en	Amateur	2	Amateur	6.5	21
568	en	Apollo 13	19	Apollo 13	7.3	1637
11780	en	Rob Roy	10	Rob Roy	6.5	151
34996	en	The Addiction	3	The Addiction	6.4	46
414	en	Batman Forever	13	Batman Forever	5.2	1529
649	fr	Belle de jour	10	Belle de Jour	7.3	163
1873	en	Beyond Rangoon	2	Beyond Rangoon	6.4	21
5894	en	Blue in the Face	12	Blue in the Face	6.8	28
1775	en	Canadian Bacon	5	Canadian Bacon	5.9	57
8839	en	Casper	13	Casper	6	1045
20649	en	Clockers	5	Clockers	6.8	69
10329	en	Congo	7	Congo	5	214
8963	en	Crimson Tide	9	Crimson Tide	7	508
26564	en	Crumb	4	Crumb	7.6	71
8068	en	Desperado	7	Desperado	6.8	898
8512	en	Devil in a Blue Dress	5	Devil in a Blue Dress	6.3	88
1572	en	Die Hard: With a Vengeance	15	Die Hard: With a Vengeance	6.9	2094
13552	en	The Doom Generation	7	The Doom Generation	5.6	57
259209	en	Feast of July	1	Feast of July	0	0
6520	en	First Knight	15	First Knight	5.9	319
9073	en	Free Willy 2 - The Adventure Home	8	Free Willy 2 - The Adventure Home	5.5	130
10428	en	Hackers	15	Hackers	6.2	406
17447	en	Jeffrey	3	Jeffrey	6.5	19
9886	en	Johnny Mnemonic	12	Johnny Mnemonic	5.5	380
9482	en	Judge Dredd	8	Judge Dredd	5.4	643
19326	en	Jury Duty	4	Jury Duty	4	34
9344	en	Kids	5	Kids	6.8	280
9071	en	Living in Oblivion	10	Living in Oblivion	7.2	64
8973	en	Lord of Illusions	4	Lord of Illusions	5.9	87
15730	en	Love & Human Remains	0	Love & Human Remains	7	7
47608	en	Mad Love	3	Mad Love	5.5	27
2293	en	Mallrats	8	Mallrats	6.8	400
9070	en	Mighty Morphin Power Rangers: The Movie	7	Mighty Morphin Power Rangers: The Movie	5.2	153
68274	en	Moonlight and Valentino	1	Moonlight and Valentino	5.6	10
48787	en	Mute Witness	2	Mute Witness	6.4	36
34574	en	Nadja	8	Nadja	5.9	12
1642	en	The Net	13	The Net	5.6	359
11472	en	Nine Months	8	Nine Months	5.5	171
36196	en	Party Girl	1	Party Girl	5.8	14
11980	en	The Prophecy	10	The Prophecy	6.4	139
58372	en	Reckless	0	Reckless	10	1
32646	en	Safe	8	Safe	7.2	62
10533	en	The Scarlet Letter	7	The Scarlet Letter	5.5	111
56088	en	The Show	0	The Show	5.3	2
10802	en	Showgirls	18	Showgirls	4.9	261
10149	en	Smoke	6	Smoke	7.2	115
18402	en	Something to Talk About	4	Something to Talk About	5.7	60
9348	en	Species	13	Species	5.5	457
139408	en	The Stars Fell on Henrietta	1	The Stars Fell on Henrietta	6.6	6
281	en	Strange Days	11	Strange Days	6.8	334
5967	fr	Les parapluies de Cherbourg	8	The Umbrellas of Cherbourg	7.6	119
79593	en	The Tie That Binds	2	The Tie That Binds	4.6	9
47939	en	Three Wishes	11	Three Wishes	6.1	18
36834	en	Total Eclipse	5	Total Eclipse	6.5	112
9090	en	"To Wong Foo, Thanks for Everything! Julie Newmar"	8	"To Wong Foo, Thanks for Everything! Julie Newmar"	6.3	117
3512	en	Under Siege 2: Dark Territory	7	Under Siege 2: Dark Territory	5.6	217
52856	en	Unstrung Heroes	3	Unstrung Heroes	6.4	9
77350	en	Unzipped	1	Unzipped	6	6
9560	en	A Walk in the Clouds	10	A Walk in the Clouds	6.5	168
9804	en	Waterworld	17	Waterworld	5.9	1017
31611	en	White Man's Burden	2	White Man's Burden	5.1	25
65796	en	Wild Bill	9	Wild Bill	5.9	27
49805	en	The Browning Version	4	The Browning Version	6	11
26258	en	Bushwhacked	3	Bushwhacked	4.9	29
50797	ru	Утомлённые солнцем	2	Burnt by the Sun	6.7	35
19155	en	Before the Rain	4	Before the Rain	7.7	45
76	en	Before Sunrise	11	Before Sunrise	7.7	984
11017	en	Billy Madison	7	Billy Madison	6.2	464
37141	en	The Babysitter	3	The Babysitter	4.7	27
9382	en	Boys on the Side	3	Boys on the Side	6.3	48
6715	en	The Cure	3	The Cure	7.2	58
18256	en	Castle Freak	2	Castle Freak	5.8	40
22625	en	Circle of Friends	3	Circle of Friends	6.5	30
2292	en	Clerks	11	Clerks	7.4	769
1909	en	Don Juan DeMarco	7	Don Juan DeMarco	6.3	184
8984	en	Disclosure	12	Disclosure	5.9	217
61813	en	Dream Man	0	Dream Man	2.5	1
4954	en	Drop Zone	10	Drop Zone	5.1	91
62488	it	Destiny Turns on the Radio	1	Destiny Turns on the Radio	5.3	9
10531	en	Death and the Maiden	5	Death and the Maiden	7.1	92
11929	en	Dolores Claiborne	6	Dolores Claiborne	7.1	183
8467	en	Dumb and Dumber	10	Dumb and Dumber	6.5	1894
10451	zh	飲食男女	5	Eat Drink Man Woman	7.5	76
20156	en	Exotica	5	Exotica	6.5	64
18395	en	Exit to Eden	4	Exit to Eden	4.3	28
522	en	Ed Wood	12	Ed Wood	7.3	639
397	en	French Kiss	9	French Kiss	6.2	179
10525	en	Forget Paris	16	Forget Paris	6.1	38
27985	en	Far from Home: The Adventures of Yellow Dog	3	Far from Home: The Adventures of Yellow Dog	5.6	27
15789	en	A Goofy Movie	10	A Goofy Movie	6.7	404
27303	en	Hideaway	8	Hideaway	5	24
21183	en	Fluke	5	Fluke	6.6	48
10954	fr	Farinelli	9	Farinelli	5.9	20
47867	en	Gordy	0	Gordy	3	4
43475	en	Gumby: The Movie	0	Gumby: The Movie	5	2
72031	en	The Glass Shield	1	The Glass Shield	5.4	9
14275	en	Hoop Dreams	9	Hoop Dreams	7.7	91
1024	en	Heavenly Creatures	9	Heavenly Creatures	6.9	299
17207	en	Houseguest	3	Houseguest	6	17
13701	en	Immortal Beloved	8	Immortal Beloved	6.9	90
14819	en	Heavyweights	10	Heavyweights	6	97
32631	en	The Hunted	3	The Hunted	6	25
11777	en	I.Q.	5	I.Q.	5.9	112
628	en	Interview with the Vampire	12	Interview with the Vampire	7.2	1558
87729	en	Jefferson in Paris	2	Jefferson in Paris	5.2	10
18713	en	The Jerky Boys	1	The Jerky Boys	4.8	10
6280	en	Junior	7	Junior	4.7	381
9061	en	Just Cause	9	Just Cause	6	124
37108	en	A Kid in King Arthur's Court	6	A Kid in King Arthur's Court	4.3	40
6071	en	Kiss of Death	8	Kiss of Death	5.7	83
11	en	Star Wars	42	Star Wars	8.1	6778
9587	en	Little Women	10	Little Women	7	222
19101	en	A Little Princess	8	A Little Princess	7.4	207
49980	en	Ladybird Ladybird	1	Ladybird Ladybird	7.4	14
17961	fr	L'Enfer	2	L'Enfer	6.6	22
18183	es	Como agua para chocolate	4	Like Water for Chocolate	6.6	70
4476	en	Legends of the Fall	12	Legends of the Fall	7.2	636
11008	en	Major Payne	9	Major Payne	6.1	164
47504	en	Little Odessa	2	Little Odessa	6.4	31
32325	en	Mi Vida Loca	2	Mi Vida Loca	5.7	9
43742	en	Love Affair	3	Love Affair	4.3	11
28313	en	Losing Isaiah	8	Losing Isaiah	6.4	28
11318	en	The Madness of King George	5	The Madness of King George	6.7	67
3036	en	Frankenstein	14	Mary Shelley's Frankenstein	6.1	272
40490	en	Man of the House	3	Man of the House	5.1	40
24070	en	Mixed Nuts	3	Mixed Nuts	5.2	37
8986	en	Milk Money	4	Milk Money	5.6	49
10510	en	Miracle on 34th Street	6	Miracle on 34th Street	6.4	199
17402	en	Miami Rhapsody	1	Miami Rhapsody	5.6	7
38722	en	My Family	3	My Family	7	11
8438	en	Murder in the First	10	Murder in the First	6.9	140
11593	en	Nobody's Fool	3	Nobody's Fool	7	56
1945	en	Nell	6	Nell	6.1	128
39310	en	New Jersey Drive	1	New Jersey Drive	6.9	7
109560	en	New York Cop	0	New York Cop	0	0
56428	en	Beyond Bedlam	0	Beyond Bedlam	4	4
63105	en	Nemesis 2 - Nebula	1	Nemesis 2 - Nebula	4.6	10
131957	en	Nina Takes a Lover	1	Nina Takes a Lover	7.4	4
241	en	Natural Born Killers	11	Natural Born Killers	6.9	927
9058	en	Only You	5	Only You	6.4	92
527	en	Once Were Warriors	4	Once Were Warriors	7.6	106
18220	en	Poison Ivy II: Lily	6	Poison Ivy II: Lily	4.6	32
6950	en	Outbreak	14	Outbreak	6.4	522
101	fr	Léon	20	Leon: The Professional	8.2	4293
63020	en	The Perez Family	1	The Perez Family	6.6	9
2307	en	A Pyromaniac's Love Story	0	A Pyromaniac's Love Story	7	2
680	en	Pulp Fiction	141	Pulp Fiction	8.3	8670
41478	en	Panther	7	Panther	6.4	6
25296	zh	Pushing Hands	2	Pushing Hands	6.1	9
40156	en	Priest	2	Priest	6.4	32
11450	en	Quiz Show	8	Quiz Show	7.1	262
30304	en	Picture Bride	1	Picture Bride	7.4	5
10452	fr	La Reine Margot	4	Queen Margot	7	67
12106	en	The Quick and the Dead	8	The Quick and the Dead	6.2	431
161495	sv	Roommates	3	Roommates	6.4	7
3586	en	Prêt-à-Porter	6	Prêt-à-Porter	5.3	33
110	fr	Trois couleurs : Rouge	8	Three Colors: Red	7.8	246
108	fr	Trois couleurs : Bleu	9	Three Colors: Blue	7.7	311
109	fr	Trois couleurs : Blanc	7	Three Colors: White	7.3	218
159185	zh	Pao Da Shuang Deng	0	"Red Firecracker, Green Firecracker"	7	2
36357	en	Rent-a-Kid	1	Rent-a-Kid	5.1	15
92769	en	Relative Fear	0	Relative Fear	4.7	3
28033	en	Stuart Saves His Family	1	Stuart Saves His Family	5	6
22586	en	The Swan Princess	9	The Swan Princess	6.5	251
14334	en	The Secret of Roan Inish	2	The Secret of Roan Inish	6.1	15
2636	en	The Specialist	10	The Specialist	5.5	317
2164	en	Stargate	13	Stargate	6.8	942
11395	en	The Santa Clause	10	The Santa Clause	6.3	501
278	en	The Shawshank Redemption	52	The Shawshank Redemption	8.5	8358
9905	en	Shallow Grave	8	Shallow Grave	7	247
87078	en	Suture	1	Suture	6	7
12527	es	Fresa y chocolate	2	Strawberry and Chocolate	7.1	16
20306	en	Swimming with Sharks	6	Swimming with Sharks	6.7	104
36614	en	The Sum of Us	1	The Sum of Us	6	21
27993	en	Senior Trip	5	Senior Trip	5.7	23
31439	zh	活着	5	To Live	7.7	62
9067	en	Tank Girl	8	Tank Girl	5.5	140
9059	en	Tales from the Crypt: Demon Knight	9	Tales from the Crypt: Demon Knight	6.7	96
193	en	Star Trek: Generations	8	Star Trek: Generations	6.4	461
25066	en	Tales from the Hood	3	Tales from the Hood	5.4	33
46797	en	Tom & Viv	1	Tom & Viv	5.8	8
12122	en	Village of the Damned	7	Village of the Damned	5.6	165
11381	en	Tommy Boy	12	Tommy Boy	6.8	321
32636	en	Vanya on 42nd Street	7	Vanya on 42nd Street	6.1	15
36141	en	The Underneath	2	The Underneath	5.6	15
95963	en	The Walking Dead	1	The Walking Dead	6.6	4
1587	en	What's Eating Gilbert Grape	10	What's Eating Gilbert Grape	7.5	943
9271	en	Virtuosity	5	Virtuosity	5.4	163
2064	en	While You Were Sleeping	16	While You Were Sleeping	6.5	340
19855	en	The War	4	The War	6.3	39
60855	en	Double Happiness	0	Double Happiness	5.5	2
236	en	Muriel's Wedding	5	Muriel's Wedding	6.9	104
48287	en	The Baby-Sitters Club	2	The Baby-Sitters Club	5.3	23
3049	en	Ace Ventura: Pet Detective	11	Ace Ventura: Pet Detective	6.4	1684
2759	en	"The Adventures of Priscilla, Queen of the Desert"	8	"The Adventures of Priscilla, Queen of the Desert"	7.2	174
12635	en	Backbeat	2	Backbeat	6.2	37
10497	en	Bitter Moon	11	Bitter Moon	7	115
11382	en	Bullets Over Broadway	6	Bullets Over Broadway	7	130
9331	en	Clear and Present Danger	8	Clear and Present Danger	6.4	390
10731	en	The Client	15	The Client	6.4	287
10464	en	"Corrina, Corrina"	7	"Corrina, Corrina"	6.4	83
34152	en	Crooklyn	3	Crooklyn	6.7	31
9495	en	The Crow	16	The Crow	7.3	980
29973	en	Cobb	3	Cobb	6.1	29
888	en	The Flintstones	15	The Flintstones	5	559
13	en	Forrest Gump	48	Forrest Gump	8.2	8147
712	en	Four Weddings and a Funeral	9	Four Weddings and a Funeral	6.6	654
16295	en	Higher Learning	8	Higher Learning	6.4	49
48992	en	I Like It Like That	0	I Like It Like That	6.3	4
10879	en	I Love Trouble	4	I Love Trouble	5.3	41
10660	en	It Could Happen to You	11	It Could Happen to You	6.1	154
10714	en	The Jungle Book	11	The Jungle Book	5.9	107
41647	en	Die Macht der Bilder: Leni Riefenstahl	1	"The Wonderful, Horrible Life of Leni Riefenstahl"	7.3	5
8587	en	The Lion King	22	The Lion King	8	5520
1689	en	Little Buddha	6	Little Buddha	6	76
11596	en	New Nightmare	10	New Nightmare	6.4	297
854	en	The Mask	14	The Mask	6.6	2550
9359	en	Maverick	15	Maverick	6.6	490
23333	en	Mrs. Parker and the Vicious Circle	5	Mrs. Parker and the Vicious Circle	6.3	20
36593	en	The Naked Gun 33⅓: The Final Insult	11	The Naked Gun 33⅓: The Final Insult	6.4	535
12280	en	The Paper	4	The Paper	6.1	40
2788	en	Reality Bites	7	Reality Bites	6.5	180
10427	en	Red Rock West	5	Red Rock West	6.4	71
11011	en	Ri¢hie Ri¢h	7	Ri¢hie Ri¢h	5.4	426
49803	en	Safe Passage	5	Safe Passage	4.9	7
8987	en	The River Wild	11	The River Wild	6.1	214
1637	en	Speed	11	Speed	6.8	1814
15128	en	Speechless	2	Speechless	5.5	24
8831	en	Timecop	9	Timecop	5.5	288
36955	en	True Lies	11	True Lies	6.8	1138
10449	en	When a Man Loves a Woman	4	When a Man Loves a Woman	6	71
10395	en	Wolf	14	Wolf	6	221
12160	en	Wyatt Earp	9	Wyatt Earp	6.5	203
40480	en	Bad Company	1	Bad Company	4.9	12
52038	en	A Man of No Importance	0	A Man of No Importance	6.5	2
29444	en	S.F.W.	3	S.F.W.	6.1	22
26352	en	A Low Down Dirty Shame	3	A Low Down Dirty Shame	6	31
39953	en	"Boys Life: Three Stories of Love, Lust, and Liberation"	0	"Boys Life: Three Stories of Love, Lust, and Liberation"	2	1
41580	fr	Le colonel Chabert	1	Colonel Chabert	5.9	9
315	en	"Faster, Pussycat! Kill! Kill!"	4	"Faster, Pussycat! Kill! Kill!"	6.5	59
22067	en	Jason's Lyric	1	Jason's Lyric	5.9	9
18242	en	The Secret Adventures of Tom Thumb	0	The Secret Adventures of Tom Thumb	7.1	8
11667	en	Street Fighter	14	Street Fighter	4.1	330
32502	en	Coldblooded	2	Coldblooded	6.7	13
267188	en	Desert Winds	0	Desert Winds	0	0
28732	en	Fall Time	1	Fall Time	6.3	6
75555	en	The Fear	0	The Fear	3.4	7
42981	en	Frank and Ollie	0	Frank and Ollie	7.5	4
278939	en	Girl in the Cadillac	0	Girl in the Cadillac	10	1
291731	en	Homage	0	Homage	0	0
226229	en	Mirage	0	Mirage	4	1
203119	en	Open Season	0	Open Season	0	0
172923	en	Dos Crímenes	0	Dos Crímenes	5	1
316098	en	Brother Minister: The Assassination of Malcolm X	0	Brother Minister: The Assassination of Malcolm X	4	1
8011	en	Highlander III: The Sorcerer	7	Highlander: The Final Dimension	4.5	110
171857	en	Federal Hill	0	Federal Hill	5	2
2654	en	In the Mouth of Madness	8	In the Mouth of Madness	7.1	307
18069	en	8 Seconds	2	8 Seconds	7.2	22
19092	en	Above the Rim	4	Above the Rim	6.7	40
2758	en	Addams Family Values	18	Addams Family Values	6.5	537
38129	en	Martin Lawrence: You So Crazy	0	Martin Lawrence: You So Crazy	4.5	4
10436	en	The Age of Innocence	8	The Age of Innocence	7	172
13595	en	Airheads	7	Airheads	5.8	222
46094	en	The Air Up There	2	The Air Up There	5.1	42
9409	en	Another Stakeout	13	Another Stakeout	4.9	58
11853	en	Bad Girls	15	Bad Girls	4.6	61
16771	en	Barcelona	2	Barcelona	6.6	20
46924	en	Being Human	3	Being Human	5	15
11041	en	The Beverly Hillbillies	6	The Beverly Hillbillies	5	86
306	en	Beverly Hills Cop III	12	Beverly Hills Cop III	5.5	445
14522	en	Black Beauty	8	Black Beauty	6.6	68
26203	en	Blink	3	Blink	6.3	45
178	en	Blown Away	13	Blown Away	6	126
19819	en	Blue Chips	6	Blue Chips	5.7	41
57834	en	Blue Sky	5	Blue Sky	6.1	28
4722	en	Body Snatchers	7	Body Snatchers	5.8	102
18215	en	Boxing Helena	4	Boxing Helena	4.5	59
1607	en	A Bronx Tale	6	A Bronx Tale	7.4	447
26391	en	Cabin Boy	2	Cabin Boy	4.9	28
117553	en	Calendar Girl	1	Calendar Girl	3.7	10
6075	en	Carlito's Way	9	Carlito's Way	7.7	805
11310	en	City Slickers II: The Legend of Curly's Gold	9	City Slickers II: The Legend of Curly's Gold	4.9	103
18658	en	Clean Slate	3	Clean Slate	5.7	25
9350	en	Cliffhanger	10	Cliffhanger	6.1	600
9612	en	Coneheads	11	Coneheads	4.8	228
2124	en	Color of Night	14	Color of Night	5.4	117
26261	en	Cops & Robbersons	7	Cops & Robbersons	5	36
19176	en	The Cowboy Way	4	The Cowboy Way	5.1	38
49299	en	Dangerous Game	3	Dangerous Game	5.4	9
11566	en	Dave	14	Dave	6.3	205
9571	en	Dazed and Confused	7	Dazed and Confused	7.4	588
9739	en	Demolition Man	12	Demolition Man	6.4	1018
24257	en	The Endless Summer 2	0	The Endless Summer 2	7.1	12
34444	en	Even Cowgirls Get the Blues	3	Even Cowgirls Get the Blues	4.2	29
26141	en	Fatal Instinct	4	Fatal Instinct	5.4	37
10997	zh	霸王别姬	5	Farewell My Concubine	7.8	98
50463	en	The Favor	1	The Favor	3.3	6
10443	en	Fearless	9	Fearless	6.8	80
20239	en	Fear of a Black Hat	1	Fear of a Black Hat	5.8	11
16297	en	With Honors	3	With Honors	6.1	54
18551	en	Flesh and Bone	2	Flesh and Bone	6.2	22
25440	en	Widows' Peak	0	Widows' Peak	4.3	3
9024	en	For Love or Money	8	For Love or Money	5.7	77
37233	en	The Firm	10	The Firm	6.6	513
1634	en	Free Willy	6	Free Willy	6	429
13815	en	Fresh	4	Fresh	7.6	56
5503	en	The Fugitive	10	The Fugitive	7.2	1240
35588	en	Geronimo: An American Legend	5	Geronimo: An American Legend	5.9	44
2087	en	The Getaway	14	The Getaway	5.4	81
41579	en	Getting Even with Dad	2	Getting Even with Dad	4.5	43
18620	en	Go Fish	1	Go Fish	3.9	5
41006	en	A Good Man in Africa	5	A Good Man in Africa	5.2	11
4916	en	Guilty as Sin	5	Guilty as Sin	5.6	21
2019	en	Hard Target	8	Hard Target	6.1	237
31642	en	Heaven & Earth	4	Heaven & Earth	6.4	51
9255	en	Hot Shots! Part Deux	13	Hot Shots! Part Deux	6.2	463
26271	en	Live Nude Girls	2	Live Nude Girls	4.7	12
10612	en	The Englishman Who Went Up a Hill But Came Down a Mountain	5	The Englishman Who Went Up a Hill But Came Down a Mountain	6.1	83
2259	en	The House of the Spirits	11	The House of the Spirits	6.7	135
16097	en	House Party 3	1	House Party 3	4.6	11
11934	en	The Hudsucker Proxy	8	The Hudsucker Proxy	7.1	280
106143	en	I'll Do Anything	2	I'll Do Anything	5.7	18
